"Charity Number","Charity Subsidiary Number","Charity Name","Charity Address","Charity Postcode","Charity Constituency","Phone","Email","Website","Last Recorded Financial Year","Last Recorded Income","Last Recorded Expenditure","Charity Status","Charity Type","How the charity helps","What the charity does","Who the charity helps","Activities","Charity Objects"
"1190577","0","THE CIRCUS PROJECT","HANGLETON COMMUNITY CENTRE, HARMSWORTH CRESCENT, HOVE","BN3 8BW","Hove and Portslade","07957456961","mail@thecircusproject.co.uk","https://www.thecircusproject.co.uk/","31/12/2023","44506","42659","Registered","CIO","Provides Services","Arts/culture/heritage/science","Children/young People, Elderly/old People, People With Disabilities, Other Charities Or Voluntary Bodies, The General Public/mankind","The Circus Project is an aerial circus arts training organisation. We offer weekly classes and workshops to the community of Brighton and Hove and the surrounding areas. Children from 7yrs and adults of all ages.","TO PROMOTE, IMPROVE AND ADVANCE EDUCATION FOR THE PUBLIC BENEFIT IN BRIGHTON & HOVE, PRIMARILY IN HANGLETON & KNOLL, BOTH BY THE TEACHING OF CIRCUS SKILLS IN A SAFE AND SUPPORTIVE ENVIRONMENT AND BY THE PROVISION OF ACCESS TO PROFESSIONAL CIRCUS AND THEATRICAL PRODUCTIONS THROUGH PERFORMANCE."
"1190776","0","KNIGHT SUPPORT","15 West Street, Brighton","BN1 2RL","Brighton Pavilion","01273324163","info@knightsupport.org.uk","https://knightsupport.org.uk/","05/04/2025","112838","71935","Registered","CIO","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Disability, The Prevention Or Relief Of Poverty, Other Charitable Purposes","Other Charities Or Voluntary Bodies, Other Defined Groups","We are a charity, based in Brighton and Hove, devoted to helping rough sleepers and the homeless
through the provision of support, advocacy, clothing and self-care items.","TO RELIEVE THE NEEDS OF PERSONS WHO ARE IN NEED BY VIRTUE OF BEING HOMELESS OR ROUGH SLEEPERS IN THE CITY OF BRIGHTON AND HOVE AND ITS SURROUNDING AREAS, THROUGH THE PROVISION OF SUPPORT, ADVOCACY, CLOTHING, SELF-CARE ITEMS AND FURNITURE."
"1191094","0","SOUTH EAST JAIN ASSOCIATION","17 ST. EDMUNDS CLOSE, CRAWLEY","RH11 7SR","Crawley","07801719966","Seja2005uk@outlook.com","","31/12/2024","8064","4417","Registered","Other","Provides Advocacy/advice/information","General Charitable Purposes, The Advancement Of Health Or Saving Of Lives, Religious Activities","Other Charities Or Voluntary Bodies, The General Public/mankind","Jain religious activities involving the community","“TO ADVANCE AND PROMOTE THE JAIN RELIGION IN SOUTH EAST ENGLAND FOR THE BENEFIT OF THE PUBLIC, MAINLY BUT NOT EXCLUSIVELY, THROUGH THE HOLDING OF PRAYER MEETINGS, CELEBRATION OF RELIGIOUS FESTIVALS, RELIGIOUS EDUCATION, ENLIGHTENING OTHERS ABOUT THE JAIN RELIGION AND TO PROVIDE OUTREACH AND PASTORAL CARE FOR THE COMMUNITY THROUGH THE RELIEF OF POVERTY AND THE PROMOTION OF GOOD HEALTH”."
"1191298","0","THE DEANS SENIOR TEA CLUB","59-61 Marine Drive, ROTTINGDEAN, BRIGHTON","BN2 7HQ","Brighton Kemptown and Peacehaven","01273582333","mariashomecc@gmail.com","www.thedeansseniorteaclub.org","31/08/2024","60849","56385","Registered","CIO","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Recreation","Elderly/old People, People With Disabilities","The Deans Senior Tea Club main aim is to help combat isolation the elderly community, we hold three Tea Clubs each week in Saltdean, Peacehaven and Telscombe Cliffs.
The clubs are free to all, we hold fun activities and have entertainment to include singers ,dancers. 
The members come together to drink tea eat cake and meet new friends.","TO PROMOTE SOCIAL INCLUSION FOR THE PUBLIC BENEFIT BY WORKING WITH PEOPLE IN SALTDEAN, BRIGHTON, EAST LEWES, ROTTINGDEAN, OVINGDEAN, WOODINGDEAN, ROEDEAN, TELSCOMBE, PEACEHAVEN, NEWHAVEN, SEAFORD AND THE SURROUNDING AREAS WHO ARE SOCIALLY EXCLUDED ON THE GROUNDS OF THEIR AGE AND CONDITIONS RELATED TO THE AGEING PROCESS, PREVENTING THEM FROM BECOMING SOCIALLY EXCLUDED, RELIEVING THE NEEDS OF SUCH PEOPLE AND ASSISTING THEM TO INTEGRATE INTO SOCIETY, IN PARTICULAR BY:
 
A) PROVIDING LOCAL NETWORK GROUPS THAT ENCOURAGE AND ENABLE MEMBERS TO PARTICIPATE IN, AND ENGAGE MORE EFFECTIVELY WITH, THE WIDER COMMUNITY; AND
 
B) PROVIDING OR ASSISTING IN THE PROVISION OF FACILITIES FOR RECREATION AND LEISURE TIME OCCUPATION IN THE INTERESTS OF SOCIAL WELFARE WITH THE AIM OF IMPROVING THEIR CONDITIONS OF LIFE."
"1191407","0","NETWORK OF INTERNATIONAL WOMEN FOR BRIGHTON AND HOVE","The Network of International Women, Community Base, 113 Queens Road, Brighton","BN1 3XG","Brighton Pavilion","07341840997","info@niwbh.org","www.niwbh.org","31/03/2025","156226","130443","Registered","CIO","Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","General Charitable Purposes, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity","People Of A Particular Ethnic Or Racial Origin, Other Defined Groups","The promotion of social inclusion for the public benefit among women and their families whose first language is not English who are socially excluded on the grounds of their social and economic position by providing: education and training in English language and vocational skills and social and recreational facilities and events involving the local community.","THE OBJECTS OF THE CIO ARE:
THE PROMOTION OF SOCIAL INCLUSION FOR THE PUBLIC BENEFIT AMONG WOMEN AND THEIR FAMILIES WHOSE FIRST LANGUAGE IS NOT ENGLISH WHO ARE SOCIALLY EXCLUDED ON THE GROUNDS OF THEIR SOCIAL AND ECONOMIC POSITION, BY PROVIDING:
1.EDUCATION AND TRAINING IN THE ENGLISH LANGUAGE AND IN VOCATIONAL SKILLS; AND
2.SOCIAL AND RECREATIONAL FACILITIES AND EVENTS INVOLVING THE LOCAL COMMUNITY."
"1192044","0","CHABAD LUBAVITCH BRIGHTON","15 THE UPPER DRIVE, HOVE","BN3 6GR","Hove and Portslade","01273321919","rabbiefune@lubavitchbrighton.com","","31/12/2024","54953","74451","Registered","CIO","Provides Services, Provides Advocacy/advice/information","Religious Activities","The General Public/mankind","Makes grants to Jewish educational and religious bodies","THE ADVANCEMENT OF THE ORTHODOX JEWISH FAITH IN ACCORDANCE WITH THE PRINCIPLES AND TEACHINGS OF CHABAD IN SUCH WAYS AS ARE EXCLUSIVELY CHARITABLE IN ENGLISH LAW AND IN PARTICULAR BUT NOT EXCLUSIVELY BY PROVIDING JEWISH PEOPLE LIVING IN EAST & WEST SUSSEX WITH RELIGIOUS EDUCATIONAL PROGRAMS AND SOCIAL ACTIVITIES THAT WILL BUILD AND DEVELOP A MEANINGFUL RELATIONSHIP TO THEIR JEWISH HERITAGE AND BY PROVIDING FOR THEIR RELIGIOUS NEEDS AND PASTORAL WELFARE"
"1192660","0","BRIGHTON & HOVE WOOD RECYCLING PROJECT LTD","The Wood Store, Ground Floor, Oakley House, Edward Street, Brighton","","","01273570500","info@woodrecycling.org.uk","woodrecycling.org.uk","31/03/2024","459054","474011","Registered","Charitable company","Other Charitable Activities","Disability, Environment/conservation/heritage","People With Disabilities","Diverting waste wood away from landfill and incineration in East and West Sussex. Promoting the re-use and recycling of waste wood. Seeking to establish, and raise awareness of, a circular economy. Producing new products from reclaimed timber at our workshop in Brighton. Working with many disadvantaged people, offering accredited training and volunteering opportunities, within a caring environment","TO PROMOTE FOR THE BENEFIT OF THE PUBLIC THE CONSERVATION PROTECTION AND IMPROVEMENT OF THE PHYSICAL AND NATURAL ENVIRONMENT BY:
(A)DIVERTING RE-USABLE TIMBER AWAY FROM LANDFILL AND INCINERATION, AND PROMOTING RECYCLING OF WASTE WOOD IN EAST AND WEST SUSSEX, IN LINE WITH NATIONAL WASTE POLICY SEEKING TO ESTABLISH A CIRCULAR ECONOMY;
(B)RAISING PUBLIC AWARENESS OF ENVIRONMENTAL MATTERS RELATED TO RE-USE AND RECYCLING OF HOUSEHOLD AND INDUSTRIAL WASTE AND THE PLACE OF WOOD RECYCLING IN THE CIRCULAR ECONOMY."
"1192772","0","RELEASE COUNSELLING AND THERAPY FOR WOMEN CIO","COMMUNITY BASE, 113 QUEENS ROAD, BRIGHTON","BN1 3XG","Brighton Pavilion","07954216995","info@releaseforwomen.org.uk","www.releaseforwomen.org.uk","31/03/2024","141946","129656","Registered","CIO","Provides Services, Provides Advocacy/advice/information","General Charitable Purposes, Education/training, The Advancement Of Health Or Saving Of Lives, Disability","Children/young People, Elderly/old People, People With Disabilities, Other Defined Groups, The General Public/mankind","We provide 1-2-1 counselling and therapeutic groups to women experiencing a range of mental health distress across Brighton & Hove, and the surrounding areas. We also provide training for these purposes.","TO PROTECT AND PROMOTE THE MENTAL AND EMOTIONAL HEALTH OF WOMEN (AND THEIR FAMILIES WHERE NECESSARY), LIVING IN BRIGHTON AND HOVE AND THE SURROUNDING AREAS. THIS WILL BE ACHIEVED THROUGH, BUT NOT NECESSARILY RESTRICTED TO: PROVIDING AN AFFORDABLE AND ACCESSIBLE COUNSELLING SERVICE, AND BY THE TRAINING OF INDIVIDUALS OR GROUPS IN THE PROVISION OF SUCH COUNSELLING AND THERAPEUTIC SUPPORT."
"1192957","0","LIVING VITAL","Living Vital, STANMER ORGANICS, STANMER VILLAGE, BRIGHTON","BN1 9PZ","Brighton Pavilion","07903114089","commongroundbrighton@gmail.com","livingvital.co.uk","31/01/2024","24982","32152","Registered","CIO","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information, Other Charitable Activities","Education/training, Environment/conservation/heritage, Economic/community Development/employment, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","Elderly/old People, People Of A Particular Ethnic Or Racial Origin, Other Charities Or Voluntary Bodies, The General Public/mankind","Living Vital offers a safe welcoming space in nature where anyone can come to learn about organic food growing, permaculture principles, basic woodwork, nutrition and cooking. We are building a community connecting local people with refugees and migrants and growing produce for food banks. We offer people the chance to deepen their connection with their bodies, the natural world and each other.","THE OBJECTS OF THE CIO ARE 
1. THE PREVENTION OR RELIEF OF POVERTY BY THE PROVISION OF ITEMS SUCH AS FOOD TO INDIVIDUALS IN NEED AND/OR CHARITIES, OR OTHER ORGANISATIONS WORKING TO PREVENT OR RELIEVE POVERTY. 
2. TO PROVIDE FACILITIES FOR RECREATION OR OTHER LEISURE TIME OCCUPATION BY PROVIDING AN AREA FOR USE AS A COMMUNITY GARDEN FOR: THERAPEUTIC HORTICULTURE; TRAINING AND SUPPORT FOR THOSE PERSONS WHO HAVE NEED OF SUCH FACILITIES BY REASON OF THEIR YOUTH, AGE, INFIRMITY, DISABLEMENT, FINANCIAL HARDSHIP OR SOCIAL AND ECONOMIC CIRCUMSTANCES IN PARTICULAR BUT NOT EXCLUSIVELY THE REFUGEE AND MIGRANT COMMUNITY; OR FOR THE PUBLIC AT LARGE IN THE INTERESTS OF SOCIAL WELFARE AND WITH THE OBJECT OF IMPROVING THE CONDITION OF LIFE OF SAID PERSONS. 
3. TO PROMOTE FOR THE BENEFIT OF THE PUBLIC, THE CONSERVATION, PROTECTION AND IMPROVEMENT OF THE PHYSICAL AND NATURAL ENVIRONMENT BY PROMOTING BIODIVERSITY, ORGANIC GROWING, HEALTHY LIFESTYLES, PERMACULTURE, TRADITIONAL CRAFTS AND CONSERVATION PRACTICES."
"1192959","0","OROMO COMMUNITY IN BRIGHTON AND HOVE","42 Manor Way, BRIGHTON","BN2 5EF","Brighton Kemptown and Peacehaven","07405784156","oromocommunity777@yahoo.co.uk","","31/03/2024","38265","37775","Registered","Other","Provides Advocacy/advice/information, Other Charitable Activities","Other Charitable Purposes","Children/young People, People Of A Particular Ethnic Or Racial Origin","We bring Oromo people together, building stronger relationships within our community and with other communities across Brighton and Hove.
We run a weekly Oromo Saturday School for Oromo refugee children and their families, community-wide community cultural celebrations, separate clubs for men and women, community meals and outings.","THE CHARITY'S OBJECTS ARE:
TO PROMOTE SOCIAL INCLUSION FOR THE PUBLIC BENEFIT BY WORKING WITH PEOPLE IN BRIGHTON, HOVE AND SUSSEX WHO ARE SOCIALLY EXCLUDED ON THE GROUNDS OF THEIR ETHNIC ORIGIN, RELIGION, BELIEF OR CREED (IN PARTICULAR, MEMBERS OF THE OROMO COMMUNITY) TO RELIEVE THE NEEDS OF SUCH PEOPLE AND ASSIST THEM TO INTEGRATE INTO SOCIETY, IN PARTICULAR BY:
A) PROVIDING A LOCAL NETWORK GROUP THAT ENCOURAGES AND ENABLES MEMBERS OF THE OROMO COMMUNITY TO PARTICIPATE MORE EFFECTIVELY WITH THE WIDER COMMUNITY;
B) PROVIDING EDUCATION IN THE OROMO LANGUAGE, HISTORY AND CULTURE FOR CHILDREN, TO ENABLE THEM TO COMMUNICATE AND ENGAGE WITH THEIR RELATIVES AND OTHERS IN THE OROMO COMMUNITY AND BUILD THEIR SELF ESTEEM;
C) PROVIDING RECREATIONAL OPPORTUNITIES TO PROMOTE MENTAL AND PHYSICAL WELLBEING;
D) PROVIDING OPPORTUNITIES TO MEET AND SHARE EXPERIENCES WITH OROMO COMMUNITIES AROUND THE UK;
E) PROVIDING OPPORTUNITIES FOR THE WIDER COMMUNITY IN BRIGHTON, HOVE AND SUSSEX TO LEARN ABOUT OROMO CULTURE THROUGH ATTENDANCE AT EVENTS"
"1193297","0","KARIS' HELPING HAND","79 HAWKESBURY ROAD, CANVEY ISLAND","SS8 0EY","Castle Point","07422725682","hello@karishelpinghand.org.uk","karishelpinghand.org.uk","31/12/2023","11279","1636","Registered","CIO","Makes Grants To Individuals, Provides Other Finance, Provides Services, Provides Advocacy/advice/information","Disability, The Prevention Or Relief Of Poverty","Children/young People","The charities main aim is the relief and prevention of poverty helping to support venerable members of society get back on their feet","THE OBJECTS OF THE CIO ARE TO PRESERVE THE HEALTH AND RELIEVE THE NEEDS OF CHILDREN, UP TO AND INCLUDING THE AGE OF 16, DIAGNOSED WITH BRAIN TUMORS, AND THEIR IMMEDIATE FAMILIES THROUGHOUT THE SOUTH-EAST OF ENGLAND IN PARTICULAR, BUT NOT EXCLUSIVELY BY, THE PROVISION OF: GRANTS/GIFTS; MEMORY MAKING DAYS OUT, AND; HELP TOWARDS EVERYDAY ESSENTIALS."
"1193686","0","BRIGHTON AND HOVE HERITAGE COMMISSION","N/A, N/A","L20 7YX","Bootle","","","","31/07/2025","4547","17518","Registered","CIO","Makes Grants To Organisations, Acts As An Umbrella Or Resource Body","Arts/culture/heritage/science, Environment/conservation/heritage","","Brighton and Hove Heritage Commission is active in the saving from destruction or disfigurement the tangible cultural heritage and the natural heritage of Brighton and Hove and its surrounding areas.","THE OBJECTS OF THE CIO ARE TO PRESERVE FOR THE BENEFIT OF THE PEOPLE OF THE CITY OF BRIGHTON & HOVE AND PUBLIC AT LARGE:
1) THE HISTORICAL, ARCHITECTURAL AND CONSTRUCTIONAL HERITAGE THAT EXISTS IN AND AROUND BRIGHTON AND HOVE IN BUILDINGS (INCLUDING ANY STRUCTURE OR ERECTION, AND ANY PART OF A BUILDING AS SO DEFINED) OF PARTICULAR BEAUTY OR HISTORICAL, ARCHITECTURAL OR CONSTRUCTIONAL INTEREST; AND
2) THE CULTURAL AND NATURAL HERITAGE OF BRIGHTON AND HOVE AND ITS SURROUNDING AREAS, BEING ITEMS OR ARTEFACTS OF HISTORIC, ARCHITECTURAL OR CONSTRUCTIONAL INTEREST. 
IN FURTHERANCE OF THESE OBJECTS, BUT NOT OTHERWISE, THE CIO SHALL:
A) PROTECT AND PROMOTE PUBLIC INTEREST IN THE APPRECIATION OF THIS HERITAGE
B) PROVIDE OR SUPPORT THE APPROPRIATE REPAIR, RESTORATION AND MAINTENANCE, AND THE IMPROVEMENT OF THE SETTING VIA HIGH STANDARDS OF URBAN PLANNING AND DESIGN AND LANDSCAPE DESIGN;
C) PROVIDE ADVICE TO INDIVIDUALS, COMMUNITY GROUPS AND PUBLIC AUTHORITIES IN REGARD TO THE PRESERVATION, REPAIR AND WHERE NECESSARY, ADAPTATION OF THIS HERITAGE."
"1194527","0","RACIAL HARASSMENT FORUM, BRIGHTON & HOVE (RHF)","B M E C P Centre, 10a Fleet Street, BRIGHTON","BN1 4ZE","Brighton Pavilion","07916999910","rhfbandh@gmail.com","","31/03/2024","52183","52237","Registered","CIO","Provides Services, Provides Advocacy/advice/information, Sponsors Or Undertakes Research","Human Rights/religious Or Racial Harmony/equality Or Diversity","People Of A Particular Ethnic Or Racial Origin","RHF is working to build a city where all can have a positive lived experience regardless of race and belief. 

RHF believes that individuals should have the right to live their lives free from fear and not be targeted because of their identities.  Our work supports victims of racially and religiously motivated hate crimes to report incidents and provied advocacy and support.","THE OBJECT OF THE CIO IS:
 
THE PROMOTION FOR THE PUBLIC BENEFIT OF THE PREVENTION OF HATE CRIME AND HARASSMENT IN BRIGHTON AND HOVE, IN PARTICULAR THAT MOTIVATED BY FAITH AND RACE, AND THE RELIEF OF PEOPLE AFFECTED BY IT, THROUGH:

A) THE PROVISION OF TRAINING AND PROJECTS THAT SEEK TO RAISE AWARENESS OF RACIALLY AND RELIGIOUSLY MOTIVATED HATE CRIME AND HARASSMENT AND ENCOURAGE AND INCREASE REPORTING OF INCIDENTS, PROVIDING SUPPORT WHERE NECESSARY TO THOSE AFFECTED BY SUCH CRIME THROUGH ADVOCACY AND INFORMATION. 

B) WORKING IN PARTNERSHIP AND COLLABORATION WITH CROSS SECTOR STATUTORY, COMMUNITY AND VOLUNTARY ORGANISATIONS TO DEVELOP MORE EFFECTIVE SERVICES IN THE REPORTING OF RACIALLY AND RELIGIOUSLY MOTIVATED HATE CRIME AND MEETING THE NEEDS OF THOSE AFFECTED BY IT.

C) CARRYING OUT RESEARCH, THE USEFUL RESULTS OF WHICH WILL BE PUBLISHED, AND CONSULTATIONS TO MONITOR THE PREVALENCE OF RACIALLY AND RELIGIOUSLY MOTIVATED HATE CRIME, ITS EFFECT ON VICTIMS AND TO DEVELOP APPROPRIATE SERVICES."
"1195183","0","QUEEN'S PARK SCHOOL ASSOCIATION","QUEENS PARK PRIMARY SCHOOL, FRESHFIELD PLACE, BRIGHTON","BN2 0BN","Brighton Kemptown and Peacehaven","01273686822","queensparkpta@gmail.com","","05/04/2024","7392","10026","Registered","Other","Provides Other Finance, Provides Services, Other Charitable Activities","General Charitable Purposes, Education/training","Children/young People","We are a school PTA raising funds for primary school. We do this through events such as school fairs. The money we raise goes towards buying new equipment for the school or helping disadvantaged children access the same activity as all children such as trips.","THE OBJECT OF THE ASSOCIATION (THE OBJECTS) IS TO ADVANCE THE EDUCATION OF PUPILS IN THE SCHOOL IN PARTICULAR BY:
2.1 DEVELOPING EFFECTIVE RELATIONSHIPS BETWEEN THE STAFF, PARENTS AND OTHERS ASSOCIATED WITH THE SCHOOL 2.2 ENGAGING IN ACTIVITIES OR PROVIDING FACILITIES OR EQUIPMENT WHICH SUPPORT THE SCHOOL AND ADVANCE THE EDUCATION OF THE PUPILS."
"1195729","0","BNJC","29-31 New Church Road, Hove","BN3 4AD","Hove and Portslade","0000","info@bnjc.co.uk","www.bnjc.co.uk","30/06/2024","2987303","3139745","Registered","Charitable company","Provides Buildings/facilities/open Space, Provides Services, Provides Advocacy/advice/information","Education/training, Economic/community Development/employment, Recreation","Children/young People, People Of A Particular Ethnic Or Racial Origin, The General Public/mankind","check the data","4.1	THE ONLY OBJECTS FOR WHICH THE CHARITY IS ESTABLISHED ARE:
4.1.1	TO BENEFIT THE RESIDENTS OF BRIGHTON AND HOVE AND THE SURROUNDING NEIGHBOURHOOD (THE AREA OF BENEFIT), IN PARTICULAR BUT NOT EXCLUSIVELY THOSE RESIDENTS WHO PROFESS THE JEWISH FAITH, BY FACILITATING ENGAGEMENT BETWEEN THE SAID RESIDENTS AND THE LOCAL AUTHORITIES, VOLUNTARY AND OTHER ORGANISATIONS OPERATING IN THE AREA OF BENEFIT IN A COMMON EFFORT TO ADVANCE EDUCATION AND TO PROVIDE FACILITIES IN THE INTERESTS OF SOCIAL WELFARE FOR RECREATION AND LEISURE TIME, WITH THE OBJECTIVE OF IMPROVING THE CONDITIONS OF LIFE FOR RESIDENTS IN THE AREA OF BENEFIT;
4.1.2	THE ADVANCEMENT OF EARLY YEARS EDUCATION IN THE AREA OF BENEFIT, IN PARTICULAR THROUGH THE PROVISION OF NURSERY FACILITIES;
4.1.3	THE RELIEF OF UNEMPLOYMENT OR FINANCIAL HARDSHIP FOR THE BENEFIT OF THE PUBLIC IN THE AREA OF BENEFIT IN SUCH WAYS AS MAY BE THOUGHT FIT INCLUDING:
(A)	THE PROVISION OF EDUCATION, TRAINING, CO-WORKING SPACES AND ALL NECESSARY SUPPORT DESIGNED TO ENABLE INDIVIDUALS TO GENERATE A SUSTAINABLE INCOME AND BE SELF-SUFFICIENT;
(B)	ASSISTANCE TO FIND EMPLOYMENT; AND
4.1.4	SUCH OTHER CHARITABLE PURPOSES AS ARE EXCLUSIVELY CHARITABLE ACCORDING TO THE LAWS OF ENGLAND AND WALES AS THE TRUSTEES MAY FROM TIME TO TIME DETERMINE,
(THE OBJECTS)."
"1195990","0","THE BLATCHINGTON COURT TRUST","BLATCHINGTON COURT TRUST, 6A HOVE PARK VILLAS, HOVE","BN3 6HW","Hove and Portslade","01273727222","info@blatchingtoncourt.org.uk","blatchingtoncourt.co.uk","30/03/2024","649227","563231","Registered","CIO","Makes Grants To Individuals, Provides Services, Provides Advocacy/advice/information","Education/training","Children/young People, People With Disabilities","Providing a range of services including advocacy support, counselling, technology advice, benefits advice, organising & running social activities and providing financial grants","THE PROMOTION OF THE EDUCATION (INCLUDING SOCIAL AND PHYSICAL TRAINING) OF BLIND AND PARTIALLY SIGHTED PERSONS UNDER THE AGE OF 30 YEARS UNLESS WITH EXCEPTION AND AT THE ABSOLUTE DISCRETION OF THE TRUSTEES IT IS CONSIDERED APPROPRIATE IN ALL THE CIRCUMSTANCES TO BENEFIT SUCH PERSONS AGED 30 AND OVER."
"1196082","0","BRIGHTON PEOPLE'S THEATRE CIO","Brighton People's Theatre, Old Court House, 118 Church Street, BRIGHTON","BN1 1UD","Brighton Pavilion","07503430188","hello@brightonpeoplestheatre.org","https://brightonpeoplestheatre.org","31/03/2024","155547","151336","Registered","CIO","Provides Services, Provides Advocacy/advice/information","Arts/culture/heritage/science","The General Public/mankind","Brighton People's Theatre (BPT) brings people together to be part of something bigger than ourselves. We co-create theatre that is rooted in the stories & creative aspirations of people in Greater Brighton. 

BPT was founded in by our CEO and Artistic Director Naomi Alexander in 2017 as a Community Interest Company and converted to a Charitable Incorporated Organisation in 2021","TO ADVANCE EDUCATION FOR PUBLIC BENEFIT THROUGH:
A) THE PROMOTION OF THE ARTS, IN PARTICULAR BUT NOT EXCLUSIVELY, IN THE PERFORMING ARTS;
B) PROMOTING, PRESENTING, PRODUCING AND ORGANISING COMMUNITY PARTICIPATION IN HIGH QUALITY ARTS PROVISION FOR PUBLIC BENEFIT."
"1196947","0","SUSSEX SYRIAN COMMUNITY CIO","ST. MARY MAGDALENS COMMUNITY CENTRE, 55 UPPER NORTH STREET, BRIGHTON","BN1 3FH","Brighton Pavilion","07460963163","sussexsyriancommunity@gmail.com","sussexsyriancommunity.co.uk","31/03/2024","18309","15620","Registered","CIO","Provides Services, Provides Advocacy/advice/information","Education/training, Disability, Human Rights/religious Or Racial Harmony/equality Or Diversity, Other Charitable Purposes","People Of A Particular Ethnic Or Racial Origin","The Sussex Syrian Community Group aims to empower Syrian refugees in Sussex to build integrated, stable and happy lives in the UK. We create spaces for Syrians to come together, often with others from the wider community in Brighton and Hove, to celebrate our history, culture and resilience. We run language courses, skills courses, and provide advice and help with accessing services.","THE OBJECTS OF THE CIO ARE:
(1)	TO PROMOTE SOCIAL INCLUSION FOR THE PUBLIC BENEFIT BY WORKING WITH PEOPLE IN SUSSEX WHO ARE SOCIALLY EXCLUDED ON THE GROUNDS OF THEIR ETHNIC ORIGIN, RELIGION, BELIEF OR CREED (IN PARTICULAR, MEMBERS OF THE SYRIAN COMMUNITY) TO RELIEVE THE NEEDS OF SUCH PEOPLE AND ASSIST THEM TO INTEGRATE INTO SOCIETY, IN PARTICULAR BY PROVIDING: 
(A)	EDUCATION AND TRAINING IN THE ENGLISH LANGUAGE AND IN OTHER SKILLS AND SUBJECTS; 
(B)	A LOCAL NETWORK GROUP THAT ENCOURAGES AND ENABLES MEMBERS OF THE SYRIAN COMMUNITY TO PARTICIPATE MORE EFFECTIVELY WITH THE WIDER COMMUNITY; 
(C)	SOCIAL AND RECREATIONAL FACILITIES AND EVENTS INVOLVING THE LOCAL COMMUNITY. 
(2)	THE PROMOTION OF RACIAL HARMONY FOR THE PUBLIC BENEFIT BY:
(A)	PROMOTING KNOWLEDGE AND MUTUAL UNDERSTANDING BETWEEN THE SYRIAN COMMUNITY AND ALL OTHER RACIAL GROUPS; 
(B)	ADVANCING EDUCATION AND RAISING AWARENESS ABOUT THE SYRIAN COMMUNITY TO PROMOTE GOOD RELATIONS BETWEEN PERSONS OF DIFFERENT RACIAL GROUPS; 
(C)	RAISING AWARENESS OF SYRIAN CULTURE BY RUNNING CLASSES, HOLDING EVENTS AND SHARING INFORMATION."
"1197095","0","FLOURISH MENTORS","28 Chatsworth Road, BRIGHTON, East Sussex","BN1 5DB","Brighton Pavilion","07813025007","Info@flourishmentors.com","","05/04/2024","11861","10872","Registered","CIO","Provides Advocacy/advice/information","Other Charitable Purposes","Children/young People","AN LGBTQIA INCLUSIVE RESOURCE FOR YOUNG WOMEN AGED BETWEEN 16 AND 25 LIVING IN THE BRIGHTON AND HOVE AREA, HELPING THEM TO PARTICIPATE IN SOCIETY AS INDEPENDENT, MATURE AND RESPONSIBLE INDIVIDUALS THROUGH THE PROVISION OF ONE TO ONE MENTORING ADVICE AND ASSISTANCE, AND THE ORGANISATION OF WORKSHOP PROGRAMMES FOR MENTAL HEALTH AND PRACTICAL SKILLS SUPPORT.","To act as a resource for young women aged 16-25, living in the Brighton and Hove area, by providing advice and assistance and organising programmes of physical, educational and other activities, to help them advance in life and develop their skills, capacities and capabilities, enabling them to participate in society as independent, mature and responsible individuals."
"1197797","0","THE SOUTHERN EARLY MUSIC FORUM","109 Kent Road, Halling, ROCHESTER, Kent","ME2 1AT","Rochester and Strood","01634 241986","secretary@semf.org.uk","www.semf.org.uk","29/02/2024","8197","7873","Registered","Other","Provides Advocacy/advice/information","Arts/culture/heritage/science","Other Charities Or Voluntary Bodies, The General Public/mankind","The advancement of the study, practice and appreciation of the art and science of music, and in particular of 'Early Music', eg by organising workshops, lectures, courses etc, both live and online, and by disseminating information relating to early music to SEMF members and others. SEMF is one of 9 UK regional Early Music Fora; our main area of operation is the south and south east of England.","THE OBJECTS OF THE SOCIETY SHALL BE TO ADVANCE, IMPROVE, DEVELOP AND MAINTAIN PUBLIC EDUCATION IN, AND APPRECIATION OF, THE ART AND SCIENCE OF MUSIC IN ALL ITS ASPECTS BY ANY MEANS THE TRUSTEES SEE FIT, INCLUDING THROUGH THE PRESENTATION OF PUBLIC CONCERTS AND RECITALS."
